id_form,id_unique,gdlcode,iso_country_code,village,log_hh_size,education_cleaned,log_livestock_tlu,log_land_cultivated,off_farm_any,till_not_by_hand,external_labour,pesticide,debts_have,aidreceived,livestock_inputs_any,land_irrigated_any,log_tva,norm_hdds_lean_season,norm_growing_period,log_min_travel_time,kg_class_name,log_pop_dens,norm_gdl_country_shdi,norm_gdl_county_shdi
et_ari_2018,et_ari_2018_423_1,ETHr107,ET,ETHr107_jewe 13,0.06188008175018782,primary,0.33879634648867674,-0.35062231646710523,0,1,0,1,1,0,1,0,-0.2518502154153625,0.6660472218489722,0.16627999756106435,-0.4866361277191796,"Temperate, dry summer, warm summer",1.207481726738206,-0.5396057809090041,-0.3043325861799612
bf_ecd_2021,bf_ecd_2021_731_1,BFAr101,BF,BFAr101_dî,1.6302630021997628,primary,0.48041260321830287,0.38591717011171206,0,1,1,0,0,0,1,1,-0.11070179643403164,0.2699074989964825,-1.1578453466439285,1.0141290491838524,"Arid, steppe, hot",-0.5328318270641461,-1.0661550263984223,-1.258546843679131
et_ari_2018,et_ari_2018_731_1,ETHr101,ET,ETHr101_laefi,-0.1133402051623498,primary,0.37579661491423144,-1.446744749462444,1,1,0,0,0,1,1,0,-0.6882217944039123,-0.5223719467084971,-0.4063147458789328,-1.727900376893276,"Temperate, dry winter, warm summer",0.04978807232953342,-0.5396057809090041,-0.05648472708926751
bf_ecd_2021,bf_ecd_2021_416_1,BFAr101,BF,BFAr101_tougan,1.1793329636369378,primary,0.4736365366829424,1.015794650879867,0,1,1,1,1,0,1,0,1.2643230848474023,-0.5223719467084971,-0.9968030750514298,1.105457747403568,"Arid, steppe, hot",-1.1138738708263325,-1.0661550263984223,-1.258546843679131
bf_ecd_2021,bf_ecd_2021_806_1,BFAr102,BF,BFAr102_moussodougou,-0.5233483172276079,primary,-2.3169568820619793,-0.17463062863143647,1,0,0,1,0,0,0,0,1.6145682441825828,-1.3146513924134766,-0.7283992890639311,0.8053659614390757,"Tropical, savannah",-0.6194439471249304,-1.0661550263984223,-0.7380663395886743
et_ari_2018,et_ari_2018_290_1,ETHr104,ET,ETHr104_jaldo,-0.05900961500608975,primary,0.4065988922936784,0.44422389485381664,0,1,1,1,0,1,1,0,0.8827016907480905,0.6660472218489722,0.237854340491064,0.04794650648666065,"Temperate, dry summer, warm summer",-0.1400394008398673,-0.5396057809090041,-0.5397880523161201
et_ari_2018,et_ari_2018_706_1,ETHr101,ET,ETHr101_laifi,-0.48254384994651234,primary,0.1892743642286807,-0.17463062863143647,1,1,1,0,0,0,1,0,0.40371431707638106,0.2699074989964825,-0.4063147458789328,-1.727900376893276,"Temperate, dry winter, warm summer",0.04978807232953342,-0.5396057809090041,-0.05648472708926751
bf_ecd_2021,bf_ecd_2021_206_1,BFAr102,BF,BFAr102_moussodougou,1.961711092917104,primary,-2.3169568820619793,0.24940741164556596,0,1,1,0,0,0,0,0,-0.4898239617076526,-0.5223719467084971,-0.7641864605289299,0.7036180910101542,"Tropical, savannah",-0.956556140119969,-1.0661550263984223,-0.7380663395886743
bi_snv_2019,bi_snv_2019_20_1,BDIr105,BI,BDIr105_rwesero,1.170846709236176,primary,0.5226939534777336,1.9310508078750117,0,0,1,0,0,1,1,0,-1.6137474195322603,-0.9185116695609868,1.0430656984535605,-0.5678945216315248,"Temperate, dry winter, warm summer",0.45096610586296726,-1.3031021868686608,-1.023091377542972
et_ari_2018,et_ari_2018_5_1,ETHr103,ET,ETHr103_mesak,-0.21545169880220105,primary,0.39788616629790097,-0.35062231646710523,1,1,0,0,1,0,1,0,0.46781478684068367,-0.1262322238560073,-0.35263398868143253,0.4662101203633592,"Temperate, dry winter, warm summer",-0.2314218202419056,-0.5396057809090041,-0.6017500170887928
et_ari_2018,et_ari_2018_2_1,ETHr103,ET,ETHr103_gina beret,-0.07433613577791734,primary,0.2924573108739333,-0.17463062863143647,1,1,0,0,0,1,1,0,0.20715659893634847,0.2699074989964825,-0.35263398868143253,0.4662101203633592,"Temperate, dry winter, warm summer",-0.2314218202419056,-0.5396057809090041,-0.6017500170887928
et_ari_2018,et_ari_2018_639_1,ETHr101,ET,ETHr101_laifi,0.4431706896514326,primary,0.2976515997062002,0.02018585457681419,1,1,1,0,0,0,1,1,0.719613168237183,1.8544663904064416,-0.4063147458789328,-1.727900376893276,"Temperate, dry winter, warm summer",0.04978807232953342,-0.5396057809090041,-0.05648472708926751
et_ari_2018,et_ari_2018_9_1,ETHr103,ET,ETHr103_mush,0.05481999515652534,primary,0.5196461971500963,0.07341572380989722,0,1,0,0,1,1,1,0,0.3736285090758845,-0.1262322238560073,-0.4242083316114322,1.553106828333396,"Temperate, dry winter, warm summer",-0.32975830842865816,-0.5396057809090041,-0.6017500170887928
bf_ecd_2021,bf_ecd_2021_103_1,BFAr101,BF,BFAr101_dî,0.7298674591014002,primary,0.3051785656042834,0.16771857032586202,0,1,1,0,1,0,1,1,0.33382983200883454,-0.1262322238560073,-1.1578453466439285,1.0141290491838524,"Arid, steppe, hot",-0.5328318270641461,-1.0661550263984223,-1.258546843679131
bf_ecd_2021,bf_ecd_2021_558_1,BFAr101,BF,BFAr101_dî,0.11381390798061536,primary,-0.10748378523521972,-1.0227067091854414,1,1,1,1,1,0,1,1,-0.577037808440224,-0.1262322238560073,-1.157845346643929,0.627469948701281,"Arid, steppe, hot",-0.8131705106498295,-1.0661550263984223,-1.258546843679131
